Mod:Item:MetaData, Localized Name
appliedenergistics2:item.ItemMultiPart:300, ME Annihilation Plane
appliedenergistics2:item.ItemMultiPart:120, Cable Anchor
appliedenergistics2:item.ItemMultiPart:20, ME Covered Cable - White
appliedenergistics2:item.ItemMultiPart:21, ME Covered Cable - Orange
appliedenergistics2:item.ItemMultiPart:22, ME Covered Cable - Magenta
appliedenergistics2:item.ItemMultiPart:23, ME Covered Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:24, ME Covered Cable - Yellow
appliedenergistics2:item.ItemMultiPart:25, ME Covered Cable - Lime
appliedenergistics2:item.ItemMultiPart:26, ME Covered Cable - Pink
appliedenergistics2:item.ItemMultiPart:27, ME Covered Cable - Gray
appliedenergistics2:item.ItemMultiPart:28, ME Covered Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:29, ME Covered Cable - Cyan
appliedenergistics2:item.ItemMultiPart:30, ME Covered Cable - Purple
appliedenergistics2:item.ItemMultiPart:31, ME Covered Cable - Blue
appliedenergistics2:item.ItemMultiPart:32, ME Covered Cable - Brown
appliedenergistics2:item.ItemMultiPart:33, ME Covered Cable - Green
appliedenergistics2:item.ItemMultiPart:34, ME Covered Cable - Red
appliedenergistics2:item.ItemMultiPart:35, ME Covered Cable - Black
appliedenergistics2:item.ItemMultiPart:36, ME Covered Cable - Fluix
appliedenergistics2:item.ItemMultiPart:60, ME Dense Smart Cable - White
appliedenergistics2:item.ItemMultiPart:61, ME Dense Smart Cable - Orange
appliedenergistics2:item.ItemMultiPart:62, ME Dense Smart Cable - Magenta
appliedenergistics2:item.ItemMultiPart:63, ME Dense Smart Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:64, ME Dense Smart Cable - Yellow
appliedenergistics2:item.ItemMultiPart:65, ME Dense Smart Cable - Lime
appliedenergistics2:item.ItemMultiPart:66, ME Dense Smart Cable - Pink
appliedenergistics2:item.ItemMultiPart:67, ME Dense Smart Cable - Gray
appliedenergistics2:item.ItemMultiPart:68, ME Dense Smart Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:69, ME Dense Smart Cable - Cyan
appliedenergistics2:item.ItemMultiPart:70, ME Dense Smart Cable - Purple
appliedenergistics2:item.ItemMultiPart:71, ME Dense Smart Cable - Blue
appliedenergistics2:item.ItemMultiPart:72, ME Dense Smart Cable - Brown
appliedenergistics2:item.ItemMultiPart:73, ME Dense Smart Cable - Green
appliedenergistics2:item.ItemMultiPart:74, ME Dense Smart Cable - Red
appliedenergistics2:item.ItemMultiPart:75, ME Dense Smart Cable - Black
appliedenergistics2:item.ItemMultiPart:76, ME Dense Smart Cable - Fluix
appliedenergistics2:item.ItemMultiPart:520, ME Dense Covered Cable - White
appliedenergistics2:item.ItemMultiPart:521, ME Dense Covered Cable - Orange
appliedenergistics2:item.ItemMultiPart:522, ME Dense Covered Cable - Magenta
appliedenergistics2:item.ItemMultiPart:523, ME Dense Covered Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:524, ME Dense Covered Cable - Yellow
appliedenergistics2:item.ItemMultiPart:525, ME Dense Covered Cable - Lime
appliedenergistics2:item.ItemMultiPart:526, ME Dense Covered Cable - Pink
appliedenergistics2:item.ItemMultiPart:527, ME Dense Covered Cable - Gray
appliedenergistics2:item.ItemMultiPart:528, ME Dense Covered Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:529, ME Dense Covered Cable - Cyan
appliedenergistics2:item.ItemMultiPart:530, ME Dense Covered Cable - Purple
appliedenergistics2:item.ItemMultiPart:531, ME Dense Covered Cable - Blue
appliedenergistics2:item.ItemMultiPart:532, ME Dense Covered Cable - Brown
appliedenergistics2:item.ItemMultiPart:533, ME Dense Covered Cable - Green
appliedenergistics2:item.ItemMultiPart:534, ME Dense Covered Cable - Red
appliedenergistics2:item.ItemMultiPart:535, ME Dense Covered Cable - Black
appliedenergistics2:item.ItemMultiPart:536, ME Dense Covered Cable - Fluix
appliedenergistics2:item.ItemMultiPart:0, ME Glass Cable - White
appliedenergistics2:item.ItemMultiPart:1, ME Glass Cable - Orange
appliedenergistics2:item.ItemMultiPart:2, ME Glass Cable - Magenta
appliedenergistics2:item.ItemMultiPart:3, ME Glass Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:4, ME Glass Cable - Yellow
appliedenergistics2:item.ItemMultiPart:5, ME Glass Cable - Lime
appliedenergistics2:item.ItemMultiPart:6, ME Glass Cable - Pink
appliedenergistics2:item.ItemMultiPart:7, ME Glass Cable - Gray
appliedenergistics2:item.ItemMultiPart:8, ME Glass Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:9, ME Glass Cable - Cyan
appliedenergistics2:item.ItemMultiPart:10, ME Glass Cable - Purple
appliedenergistics2:item.ItemMultiPart:11, ME Glass Cable - Blue
appliedenergistics2:item.ItemMultiPart:12, ME Glass Cable - Brown
appliedenergistics2:item.ItemMultiPart:13, ME Glass Cable - Green
appliedenergistics2:item.ItemMultiPart:14, ME Glass Cable - Red
appliedenergistics2:item.ItemMultiPart:15, ME Glass Cable - Black
appliedenergistics2:item.ItemMultiPart:16, ME Glass Cable - Fluix
appliedenergistics2:item.ItemMultiPart:40, ME Smart Cable - White
appliedenergistics2:item.ItemMultiPart:41, ME Smart Cable - Orange
appliedenergistics2:item.ItemMultiPart:42, ME Smart Cable - Magenta
appliedenergistics2:item.ItemMultiPart:43, ME Smart Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:44, ME Smart Cable - Yellow
appliedenergistics2:item.ItemMultiPart:45, ME Smart Cable - Lime
appliedenergistics2:item.ItemMultiPart:46, ME Smart Cable - Pink
appliedenergistics2:item.ItemMultiPart:47, ME Smart Cable - Gray
appliedenergistics2:item.ItemMultiPart:48, ME Smart Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:49, ME Smart Cable - Cyan
appliedenergistics2:item.ItemMultiPart:50, ME Smart Cable - Purple
appliedenergistics2:item.ItemMultiPart:51, ME Smart Cable - Blue
appliedenergistics2:item.ItemMultiPart:52, ME Smart Cable - Brown
appliedenergistics2:item.ItemMultiPart:53, ME Smart Cable - Green
appliedenergistics2:item.ItemMultiPart:54, ME Smart Cable - Red
appliedenergistics2:item.ItemMultiPart:55, ME Smart Cable - Black
appliedenergistics2:item.ItemMultiPart:56, ME Smart Cable - Fluix
appliedenergistics2:item.ItemMultiPart:420, ME Conversion Monitor
appliedenergistics2:item.ItemMultiPart:360, ME Crafting Terminal
appliedenergistics2:item.ItemMultiPart:200, Dark Illuminated Panel
appliedenergistics2:item.ItemMultiPart:260, ME Export Bus
appliedenergistics2:item.ItemMultiPart:320, ME Formation Plane
appliedenergistics2:item.ItemMultiPart:301, ME Identity Annihilation Plane
appliedenergistics2:item.ItemMultiPart:240, ME Import Bus
appliedenergistics2:item.ItemMultiPart:440, ME Interface
appliedenergistics2:item.ItemMultiPart:480, ME Interface Terminal
appliedenergistics2:item.ItemMultiPart:100, ME Inverted Toggle Bus
appliedenergistics2:item.ItemMultiPart:280, ME Level Emitter
appliedenergistics2:item.ItemMultiPart:160, Bright Illuminated Panel
appliedenergistics2:item.ItemMultiPart:471, P2P Tunnel - ME Interface
appliedenergistics2:item.ItemMultiPart:462, P2P Tunnel - Item
appliedenergistics2:item.ItemMultiPart:467, P2P Tunnel - Light
appliedenergistics2:item.ItemMultiPart:463, P2P Tunnel - Fluid
appliedenergistics2:item.ItemMultiPart:460, P2P Tunnel - ME
appliedenergistics2:item.ItemMultiPart:468, P2P Tunnel - OpenComputers
appliedenergistics2:item.ItemMultiPart:466, P2P Tunnel - RF
appliedenergistics2:item.ItemMultiPart:461, P2P Tunnel - Redstone
appliedenergistics2:item.ItemMultiPart:472, P2P Tunnel - Sound
appliedenergistics2:item.ItemMultiPart:690, Creative Energy Anchor
appliedenergistics2:item.ItemMultiPart:340, ME Pattern Terminal
appliedenergistics2:item.ItemMultiPart:500, ME Processing Pattern Terminal
appliedenergistics2:item.ItemMultiPart:140, Quartz Fiber
appliedenergistics2:item.ItemMultiPart:180, Illuminated Panel
appliedenergistics2:item.ItemMultiPart:220, ME Storage Bus
appliedenergistics2:item.ItemMultiPart:400, ME Storage Monitor
appliedenergistics2:item.ItemMultiPart:380, ME Terminal
appliedenergistics2:item.ItemMultiPart:410, ME Throughput Monitor
appliedenergistics2:item.ItemMultiPart:80, ME Toggle Bus
ae2stuff:WirelessKit, Wireless Setup Kit
ae2stuff:AdvWirelessKit, Advanced Wireless Setup Kit
ae2stuff:Visualiser, Network Visualisation Tool
ArchitectureCraft:sawblade, Circular Saw Blade
ArchitectureCraft:largePulley, Large Pulley
ArchitectureCraft:chisel, Architect's Chisel
ArchitectureCraft:hammer, Architect's Hammer
ArchitectureCraft:cladding, Cladding
ArchitectureCraft:glowbrush, Architect's Glowbrush
betterbuilderswands:wandStone, Stone Wand
betterbuilderswands:wandIron, Iron Wand
betterbuilderswands:wandUnbreakable, Unbreakable Wand
betterbuilderswands:wandDiamond, Diamond Wand
betterp2p:advanced_memory_card, Advanced Memory Card
questbook:ItemQuestBook, Quest Book
chisel:upgrade:0, Speed Upgrade
chisel:upgrade:1, Automation Upgrade
chisel:upgrade:2, Stack Upgrade
chisel:upgrade:3, Reversion Upgrade
chisel:ballomoss, Ball O' Moss
chisel:chisel, Chisel
chisel:diamondChisel, Diamond Chisel
chisel:obsidianChisel, Obsidian Chisel
chisel:netherStarChisel, Nether Star Chisel
chisel:cloudinabottle, Cloud In A Bottle
chisel:smashingrock, Smashing Rock
dmod:bundle, Bundle
eplus:item.tableUpgrade, Table Upgrade
etfuturum:mutton_raw, Raw Mutton
etfuturum:mutton_cooked, Cooked Mutton
etfuturum:prismarine_shard, Prismarine Shard
etfuturum:prismarine_crystals, Prismarine Crystal
etfuturum:wooden_armorstand, Armour Stand
etfuturum:rabbit_raw, Raw Rabbit
etfuturum:rabbit_cooked, Cooked Rabbit
etfuturum:rabbit_foot, Rabbit's Foot
etfuturum:rabbit_hide, Rabbit Hide
etfuturum:rabbit_stew, Rabbit Stew
etfuturum:beetroot, Beetroot
etfuturum:beetroot_seeds, Beetroot Seeds
etfuturum:beetroot_soup, Beetroot Soup
etfuturum:chorus_fruit, Chorus Fruit
etfuturum:chorus_fruit_popped, Popped Chorus Fruit
etfuturum:end_crystal, End Crystal
etfuturum:netherite_scrap, Netherite Scrap
etfuturum:netherite_ingot, Netherite Ingot
etfuturum:netherite_helmet, Netherite Helmet
etfuturum:netherite_chestplate, Netherite Chestplate
etfuturum:netherite_leggings, Netherite Leggings
etfuturum:netherite_boots, Netherite Boots
etfuturum:netherite_pickaxe, Netherite Pickaxe
etfuturum:netherite_spade, Netherite Shovel
etfuturum:netherite_axe, Netherite Axe
etfuturum:netherite_hoe, Netherite Hoe
etfuturum:netherite_sword, Netherite Sword
etfuturum:dye:0, White Dye
etfuturum:dye:1, Blue Dye
etfuturum:dye:2, Brown Dye
etfuturum:dye:3, Black Dye
etfuturum:suspicious_stew, Suspicious Stew
etfuturum:sweet_berries, Sweet Berries
etfuturum:shulker_shell, Shulker Shell
etfuturum:pigstep_record, Music Disc
etfuturum:otherside_record, Music Disc
etfuturum:amethyst_shard, Amethyst Shard
etfuturum:honeycomb, Honeycomb
etfuturum:honey_bottle, Honey bottle
etfuturum:bamboo, Bamboo
etfuturum:oak_chest_boat, Oak Boat with Chest
etfuturum:spruce_boat, Spruce Boat
etfuturum:spruce_chest_boat, Spruce Boat with Chest
etfuturum:birch_boat, Birch Boat
etfuturum:birch_chest_boat, Birch Boat with Chest
etfuturum:jungle_boat, Jungle Boat
etfuturum:jungle_chest_boat, Jungle Boat with Chest
etfuturum:acacia_boat, Acacia Boat
etfuturum:acacia_chest_boat, Acacia Boat with Chest
etfuturum:dark_oak_boat, Dark Oak Boat
etfuturum:dark_oak_chest_boat, Dark Oak Boat with Chest
etfuturum:cherry_boat, Cherry Boat
etfuturum:cherry_chest_boat, Cherry Boat with Chest
etfuturum:bamboo_raft, Bamboo Raft
etfuturum:bamboo_chest_raft, Bamboo Raft with Chest
etfuturum:item_sign_spruce, Spruce Sign
etfuturum:item_sign_birch, Birch Sign
etfuturum:item_sign_jungle, Jungle Sign
etfuturum:item_sign_acacia, Acacia Sign
etfuturum:item_sign_dark_oak, Dark Oak Sign
hbm:item.redstone_sword, Redstone Sword
hbm:item.big_sword, Great Sword
hbm:item.butter_sword, item.butter_sword.name
hbm:item.test_nuke_igniter, Igniter
hbm:item.test_nuke_propellant, Propellant
hbm:item.test_nuke_tier1_shielding, Neutron Reflector (Tier 1)
hbm:item.test_nuke_tier2_shielding, Neutron Reflector (Tier 2)
hbm:item.test_nuke_tier1_bullet, U235 Projectile (Tier 1)
hbm:item.test_nuke_tier2_bullet, MOX Projectile (Tier 2)
hbm:item.test_nuke_tier1_target, Subcritical U235 Target (Tier 1)
hbm:item.test_nuke_tier2_target, Subcritical MOX Target (Tier 2)
hbm:item.ingot_uranium, Uranium Ingot
hbm:item.ingot_u233, Uranium-233 Ingot
hbm:item.ingot_u235, Uranium-235 Ingot
hbm:item.ingot_u238, Uranium-238 Ingot
hbm:item.ingot_u238m2:0, Metastable Uranium-238M2 Ingot
hbm:item.ingot_th232, Thorium-232 Ingot
hbm:item.ingot_plutonium, Plutonium Ingot
hbm:item.ingot_pu238, Plutonium-238 Ingot
hbm:item.ingot_pu239, Plutonium-239 Ingot
hbm:item.ingot_pu240, Plutonium-240 Ingot
hbm:item.ingot_pu241, Plutonium-241 Ingot
hbm:item.ingot_pu_mix, Reactor Grade Plutonium Ingot
hbm:item.ingot_am241, Americium-241 Ingot
hbm:item.ingot_am242, Americium-242 Ingot
hbm:item.ingot_am_mix, Reactor Grade Americium Ingot
hbm:item.ingot_cm242, Curium-242 Ingot
hbm:item.ingot_cm243, Curium-243 Ingot
hbm:item.ingot_cm244, Curium-244 Ingot
hbm:item.ingot_cm245, Curium-245 Ingot
hbm:item.ingot_cm246, Curium-246 Ingot
hbm:item.ingot_cm247, Curium-247 Ingot
hbm:item.ingot_cm_fuel, Ingot of Curium Fuel
hbm:item.ingot_cm_mix, Reactor-Grade Curium Ingot
hbm:item.ingot_bk247, Berkelium-247 Ingot
hbm:item.ingot_cf251, Californium-251 Ingot
hbm:item.ingot_cf252, Californium-252 Ingot
hbm:item.ingot_es253, Einsteinium-253 Ingot
hbm:item.ingot_es255, Einstenium-255 Ingot
hbm:item.ingot_neptunium, Neptunium Ingot
hbm:item.ingot_polonium, Polonium-210 Ingot
hbm:item.ingot_technetium, Technetium-99 Ingot
hbm:item.ingot_co60, Cobalt-60 Ingot
hbm:item.ingot_sr90, Strontium-90 Ingot
hbm:item.ingot_au198, Gold-198 Ingot
hbm:item.ingot_pb209, Lead-209 Ingot
hbm:item.ingot_ra226, Radium-226 Ingot
hbm:item.ingot_titanium, Titanium Ingot
hbm:item.ingot_nickel, Nickel Ingot
hbm:item.ingot_copper, Industrial Grade Copper
hbm:item.ingot_red_copper, Minecraft Grade Copper
hbm:item.billet_red_copper, Minecraft Grade Copper Billet
hbm:item.ingot_advanced_alloy, Advanced Alloy Ingot
hbm:item.ingot_zinc, Zinc Ingot
hbm:item.ingot_tungsten, Tungsten Ingot
hbm:item.ingot_gallium, Gallium Ingot
hbm:item.ingot_gaas, Gallium Arsenide Ingot
hbm:item.ingot_tt, Techtactium Ingot
hbm:item.ingot_ttas, Techtactium Arsenide Ingot
hbm:item.ingot_platnium, Platinium Ingot
hbm:item.ingot_iridium, Iridium Ingot
hbm:item.ingot_palladium, Palladium Ingot
hbm:item.ingot_aluminium, Aluminium Ingot
hbm:item.ingot_steel, Steel Ingot
hbm:item.ingot_stainless, Stainless Steel Ingot
hbm:item.ingot_tcalloy, Technetium Steel Ingot
hbm:item.ingot_cdalloy, Cadmium Steel Ingot
hbm:item.ingot_bismuth_bronze, Bismuth Bronze Ingot
hbm:item.ingot_arsenic_bronze, Arsenic Bronze Ingot
hbm:item.ingot_bscco, BSCCO Ingot
hbm:item.ingot_lead, Lead Ingot
hbm:item.ingot_bismuth, Bismuth Ingot
hbm:item.ingot_arsenic, Arsenic Ingot
hbm:item.ingot_calcium, Calcium Ingot
hbm:item.ingot_cadmium, Cadmium Ingot
hbm:item.ingot_tantalium, Tantalium Ingot
hbm:item.ingot_silicon, Silicon Boule
hbm:item.ingot_niobium, Niobium Ingot
hbm:item.ingot_beryllium, Beryllium Ingot
hbm:item.ingot_cobalt, Cobalt Ingot
hbm:item.ingot_boron, Boron Ingot
hbm:item.ingot_graphite, Graphite Ingot
hbm:item.ingot_firebrick, Firebrick
hbm:item.ingot_dura_steel, High-Speed Steel Ingot
hbm:item.ingot_polymer, Polymer Bar
hbm:item.ingot_bakelite, Bakelite Bar
hbm:item.ingot_biorubber, Latex Bar
hbm:item.ingot_rubber, Rubber Bar
hbm:item.ingot_pc, Hard Plastic Bar
hbm:item.ingot_pvc, PVC Bar
hbm:item.ingot_mud, Solid Mud Brick
hbm:item.ingot_magma, Vulcanite Ingot
hbm:item.ingot_cft, Crystalline Fullerite
hbm:item.ingot_schraranium, Schraranium Ingot
hbm:item.ingot_schrabidium, Schrabidium Ingot
hbm:item.ingot_schrabidate, Ferric Schrabidate Ingot
hbm:item.ingot_magnetized_tungsten, Magnetized Tungsten Ingot
hbm:item.ingot_combine_steel, CMB Steel Ingot
hbm:item.ingot_solinium, Solinium Ingot
hbm:item.ingot_gh336, Ghiorsium-336 Ingot
hbm:item.ingot_cn989, Chinesium-989 Ingot
hbm:item.ingot_uranium_fuel, Ingot of Uranium Fuel
hbm:item.ingot_thorium_fuel, Ingot of Thorium Fuel
hbm:item.ingot_plutonium_fuel, Ingot of Plutonium Fuel
hbm:item.ingot_neptunium_fuel, Neptunium Fuel Ingot
hbm:item.ingot_mox_fuel, Ingot of MOX Fuel
hbm:item.ingot_americium_fuel, Ingot of Americium Fuel
hbm:item.ingot_schrabidium_fuel, Ingot of Schrabidium Fuel
hbm:item.ingot_hes, Highly Enriched Schrabidium Fuel Ingot
hbm:item.ingot_les, Low Enriched Schrabidium Fuel Ingot
hbm:item.ingot_australium, Australium Ingot
hbm:item.ingot_lanthanium, Semi-Stable Lanthanium Ingot
hbm:item.ingot_actinium, Actinium-227 Ingot
hbm:item.ingot_desh, Desh Ingot
hbm:item.ingot_ferrouranium, Ferrouranium Ingot
hbm:item.ingot_starmetal:0, §9Starmetal Ingot§r
hbm:item.ingot_gunmetal, Gunmetal Ingot
hbm:item.ingot_weaponsteel, Weapon Steel Ingot
hbm:item.ingot_saturnite, Saturnite Ingot
hbm:item.ingot_euphemium, Euphemium Ingot
hbm:item.ingot_dineutronium, Dineutronium Ingot
hbm:item.ingot_electronium, Electronium Ingot
hbm:item.ingot_gwenium, Gwenium Ingot
hbm:item.ingot_smore, S'more Ingot
hbm:item.ingot_osmiridium, Osmiridium Ingot
hbm:item.ingot_hafnium, Hafnium Ingot
hbm:item.ingot_steel_dusted:0, Dusted Steel Ingot
hbm:item.ingot_chainsteel, Heavy Chainsteel
hbm:item.ingot_meteorite, Meteorite Ingot
hbm:item.ingot_meteorite_forged, Forged Meteorite Ingot
hbm:item.blade_meteorite, Meteorite Blade
hbm:item.ingot_phosphorus, Bar of White Phosphorus
hbm:item.lithium, Lithium Cube
hbm:item.ingot_zirconium, Zirconium Cube
hbm:item.ingot_semtex, Bar of Semtex
hbm:item.ingot_c4, Bar of Composition C-4
hbm:item.oil_tar:0, Oil Tar
hbm:item.oil_tar:1, Crack Oil Tar
hbm:item.oil_tar:2, Coal Tar
hbm:item.oil_tar:3, Wood Tar
hbm:item.oil_tar:4, Chlorinated Petroleum Wax
hbm:item.oil_tar:5, Paraffin Wax
hbm:item.solid_fuel, Solid Fuel
hbm:item.solid_fuel_presto, Presto Log
hbm:item.solid_fuel_presto_triplet, Boosted Presto Logs
hbm:item.solid_fuel_bf, Solid Fuel (Balefire)
hbm:item.solid_fuel_presto_bf, Presto Log (Balefire)
hbm:item.solid_fuel_presto_triplet_bf, Boosted Presto Logs (Balefire)
hbm:item.rocket_fuel, Solid Fuel (Rocket Propellant)
hbm:item.ingot_fiberglass, Fiberglass Bar
hbm:item.ingot_asbestos, Asbestos Sheet
hbm:item.ingot_raw:6000, Neodymium Ingot
hbm:item.ingot_raw:501, Borax Ingot
hbm:item.ingot_raw:1100, Sodium Ingot
hbm:item.ingot_raw:3800, Strontium Ingot
hbm:item.ingot_raw:7700, Iridium Ingot
hbm:item.ingot_raw:7800, Platinium Ingot
hbm:item.billet_uranium, Uranium Billet
hbm:item.billet_u233, Uranium-233 Billet
hbm:item.billet_u235, Uranium-235 Billet
hbm:item.billet_u238, Uranium-238 Billet
hbm:item.billet_th232, Thorium-232 Billet
hbm:item.billet_plutonium, Plutonium Billet
hbm:item.billet_pu238, Plutonium-238 Billet
hbm:item.billet_pu239, Plutonium-239 Billet
hbm:item.billet_pu240, Plutonium-240 Billet
hbm:item.billet_pu241, Plutonium-241 Billet
hbm:item.billet_pu_mix, Reactor Grade Plutonium Billet
hbm:item.billet_am241, Americium-241 Billet
hbm:item.billet_am242, Americium-242 Billet
hbm:item.billet_am_mix, Reactor Grade Americium Billet
hbm:item.billet_bk247, Berkelium-247 Billet
hbm:item.billet_cm242, Curium-242 Billet
hbm:item.billet_cm243, Curium-243 Billet
hbm:item.billet_cm244, Curium-244 Billet
hbm:item.billet_cm245, Curium-245 Billet
hbm:item.billet_cm246, Curium-246 Billet
hbm:item.billet_cm247, Curium-247 Billet
hbm:item.billet_cm_fuel, Curium Fuel Billet
hbm:item.billet_cm_mix, Reactor-Grade Curium Billet
hbm:item.billet_cf251, Californium-251 Billet
hbm:item.billet_cf252, Californium-252 Billet
hbm:item.billet_es253, Einsteinium-253 Billet
hbm:item.billet_cn989, Chinesium-989 Billet
hbm:item.billet_neptunium, Neptunium Billet
hbm:item.billet_polonium, Polonium-210 Billet
hbm:item.billet_technetium, Technetium-99 Billet
hbm:item.billet_cobalt, Cobalt Billet
hbm:item.billet_co60, Cobalt-60 Billet
hbm:item.billet_sr90, Strontium-90 Billet
hbm:item.billet_au198, Gold-198 Billet
hbm:item.billet_pb209, Lead-209 Billet
hbm:item.billet_ra226, Radium-226 Billet
hbm:item.billet_actinium, Actinium-227 Billet
hbm:item.billet_schrabidium, Schrabidium Billet
hbm:item.billet_solinium, Solinium Billet
hbm:item.billet_gh336, Ghiorsium-336 Billet
hbm:item.billet_gaas, Gallium Arsenide Billet
hbm:item.billet_australium, Australium Billet
hbm:item.billet_australium_lesser, Lesser Australium Billet
hbm:item.billet_australium_greater, Greater Australium Billet
hbm:item.billet_uranium_fuel, Uranium Fuel Billet
hbm:item.billet_thorium_fuel, Thorium Fuel Billet
hbm:item.billet_plutonium_fuel, Plutonium Fuel Billet
hbm:item.billet_neptunium_fuel, Neptunium Fuel Billet
hbm:item.billet_mox_fuel, MOX Fuel Billet
hbm:item.billet_americium_fuel, Americium Fuel Billet
hbm:item.billet_les, Low Enriched Schrabidium Fuel Billet
hbm:item.billet_schrabidium_fuel, Schrabidium Fuel Billet
hbm:item.billet_hes, Highly Enriched Schrabidium Fuel Billet
hbm:item.billet_po210be, Po210Be Billet
hbm:item.billet_ra226be, Ra226Be Billet
hbm:item.billet_pu238be, Pu238Be Billet
hbm:item.billet_beryllium, Beryllium Billet
hbm:item.billet_bismuth, Bismuth Billet
hbm:item.billet_silicon, Silicon Wafer
hbm:item.billet_zirconium, Zirconium Billet
hbm:item.billet_zfb_bismuth, Bismuth ZFB Billet
hbm:item.billet_zfb_pu241, Pu-241 ZFB Billet
hbm:item.billet_zfb_am_mix, Reactor Grade Americium ZFB Billet
hbm:item.billet_yharonite, Yharonite Billet
hbm:item.billet_balefire_gold, Flashgold Billet
hbm:item.billet_flashlead, Flashlead Billet
hbm:item.billet_nuclear_waste, Nuclear Waste Billet
hbm:item.cinnebar, Cinnabar
hbm:item.nugget_mercury_tiny, Tiny Drop of Mercury
hbm:item.nugget_mercury, Drop of Mercury
hbm:item.bottle_mercury, Bottle of Mercury
hbm:item.coke:0, Coal Coke
hbm:item.coke:1, Lignite Coke
hbm:item.coke:2, Petroleum Coke
hbm:item.powder_coke:0, Coal Coke Powder
hbm:item.powder_coke:1, Lignite Coke Powder
hbm:item.powder_coke:2, Petroleum Coke Powder
hbm:item.lignite, Lignite
hbm:item.coal_infernal, Infernal Coal
hbm:item.briquette:0, Coal Briquette
hbm:item.briquette:1, Lignite Briquette
hbm:item.briquette:2, Sawdust Briquette
hbm:item.woodemium_briquette, Balefire Infused Woodemium Briquette
hbm:item.sulfur, Sulfur
hbm:item.niter, Niter
hbm:item.nitra, Nitra
hbm:item.nitra_small, Small Pile of Nitra
hbm:item.fluorite, Fluorite
hbm:item.powder_coal, Coal Powder
hbm:item.powder_coal_tiny, Tiny Pile of Coal Powder
hbm:item.powder_iron, Iron Powder
hbm:item.powder_gold, Gold Powder
hbm:item.powder_lapis, Lapis Lazuli Powder
hbm:item.powder_quartz, Quartz Powder
hbm:item.powder_diamond, Diamond Powder
hbm:item.powder_emerald, Emerald Powder
hbm:item.powder_uranium, Uranium Powder
hbm:item.powder_plutonium, Plutonium Powder
hbm:item.powder_neptunium, Neptunium Powder
hbm:item.powder_polonium, Polonium-210 Powder
hbm:item.powder_co60, Cobalt-60 Powder
hbm:item.powder_sr90, Strontium-90 Powder
hbm:item.powder_sr90_tiny, Tiny Pile of Strontium-90 Powder
hbm:item.powder_i131, Iodine-131 Powder
hbm:item.powder_i131_tiny, Tiny Pile of Iodine-131 Powder
hbm:item.powder_xe135, Xenon-135 Powder
hbm:item.powder_xe135_tiny, Tiny Pile of Xenon-135 Powder
hbm:item.powder_cs137, Caesium-137 Powder
hbm:item.powder_cs137_tiny, Tiny Pile of Caesium-137 Powder
hbm:item.powder_cn989, Chinesium-989 Powder
hbm:item.powder_au198, Gold-198 Powder
hbm:item.powder_ra226, Radium-226 Powder
hbm:item.powder_at209, Astatine-209 Powder
hbm:item.powder_titanium, Titanium Powder
hbm:item.powder_nickel, Nickel Powder
hbm:item.powder_copper, Copper Powder
hbm:item.powder_zinc, Zinc Powder
hbm:item.powder_platnium, Platinium Powder
hbm:item.powder_gallium_tiny, Tiny Pile of Gallium Powder
hbm:item.powder_gallium, Gallium Powder
hbm:item.powder_red_copper, Red Copper Powder
hbm:item.powder_advanced_alloy, Advanced Alloy Powder
hbm:item.powder_tungsten, Tungsten Powder
hbm:item.powder_aluminium, Aluminium Powder
hbm:item.powder_steel, Steel Powder
hbm:item.powder_steel_tiny, Tiny Pile of Steel Powder
hbm:item.powder_tcalloy, Technetium Steel Powder
hbm:item.powder_lead, Lead Powder
hbm:item.powder_bismuth, Bismuth Powder
hbm:item.powder_calcium, Calcium Powder
hbm:item.powder_cadmium, Cadmium Powder
hbm:item.powder_coltan_ore, Crushed Coltan
hbm:item.powder_coltan, Purified Tantalite
hbm:item.powder_tantalium, Tantalium Powder
hbm:item.powder_tektite, Tektite Powder
hbm:item.powder_paleogenite, Paleogenite Powder
hbm:item.powder_paleogenite_tiny, Tiny Pile of Paleogenite Powder
hbm:item.powder_impure_osmiridium, Impure Osmiridium Powder
hbm:item.powder_borax, Borax
hbm:item.powder_chlorocalcite, Chlorocalcite
hbm:item.powder_molysite, Molysite
hbm:item.powder_yellowcake, Yellowcake
hbm:item.powder_beryllium, Beryllium Powder
hbm:item.powder_dura_steel, High-Speed Steel Powder
hbm:item.powder_polymer, Polymer Powder
hbm:item.powder_bakelite, Bakelite Powder
hbm:item.powder_schrabidium, Schrabidium Powder
hbm:item.powder_schrabidate, Ferric Schrabidate Powder
hbm:item.powder_magnetized_tungsten, Magnetized Tungsten Powder
hbm:item.powder_chlorophyte, Chlorophyte Powder
hbm:item.powder_combine_steel, CMB Steel Powder
